JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20090309-1-S1,I,Inbound Job,DTD,Sea,Hong Kong ,Singapore,,40,10
J20090323-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Arab Emirates,,40,10
J20090352-1-A1,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
J20090357-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20090365-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,The entire team of Asian Tigers made the packing move experience light and enjoyable.  A rarity.  Thank you for the positive surprise.,40,10
J20090367-1-A1,I,Inbound Job,PTD,Air,Canada,Singapore,,40,10
J20090368-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,Great Service & efficient!,40,10
J20090369-1-S1,I,Inbound Job,PTD,Sea,Indonesia,Singapore,,40,10
J20090386-1-S1,I,Inbound Job,PTD,Sea,Netherlands,Singapore,,40,10
J20090397-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,,40,10
J20090403-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,Overall very satisfied with the movers.  All were polite and efficient and were happy to follow any requests.  Only complaint would be the handyman who tried to leave twice without completing the job properly.  Very professional and friendly team!,40,10
J20090416-1-A1,O,Outbound Job,O,Air,Singapore,Malaysia,,40,10
J20090428-1-A1,O,Outbound Job,O,Air,Singapore,Taiwan,,40,10
J20090436-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20090437-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,The office didn't tell the handyman to mount the cabinets as requested and agreed.,14,3.5
J20090438-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Crew here helpful.  For things broken/missing screws, not worried as long as you help quickly.",36,9
J20090440-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,,40,10
J20090441-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,,40,10
J20090443-1-A1,O,Outbound Job,O,Air,Singapore,China,,40,10
J20100001-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20100032-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,,40,10
J20100033-1-S1,O,Outbound Job,DTD,Sea,Singapore,Switzerland,,40,10
J20100034-1-S1,O,Outbound Job,DTP,Sea,Singapore,Australia,Crew was very friendly and took care in their work.  Appreciate the efficiency and professionalism.,40,10
J20100037-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,"There was no planning with the moving team and the arrival of the sea container.  The moving team were not communicate to until after all household goods were moved downstairs.  Poor planning, poor communication and poor customer care from Sales and Move Co-ordinator.",25,6.25
J20100067-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,All the crew very helpful.  Thank you.,40,10
J20100068-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,"Khai and his team were efficient, friendly and happy to help with requests.  Thank you!",40,10
J20100100-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20100133-1-S1,O,Outbound Job,DTD,Sea,Singapore,India,Excellent Service.  Keep it up!,40,10
J20100134-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,Very good handling and courteous.,40,10
J20100147-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20100163-1-A1,I,Inbound Job,PTD,Air,France,Singapore,"Excellent crew:  courteous, careful and professional.",40,10
J20100174-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,"I cannot thank Robbie, Mike and their team enough.  The care, communication and professionalism is of the highest order.  In what has been an emotional time for our family, they have worked with us to create a stress-free, safe and professional environment.",40,10
J20100193-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Ghani and his team are all very friendly and helpful throughout the house moving.,40,10
J20100195-1-A1,O,Outbound Job,O,Air,Singapore,Malaysia,,40,10
J20100198-1-S2,O,Outbound Job,DTP,Sea,Singapore,Austria,The team was very amazing.  Highly efficient and professional.,40,10
J20100200-1-A1,O,Outbound Job,O,Air,Singapore,Malaysia,,40,10
J20100202-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,"Very fast service, nice and friendly staff.  Very helpful with packing.  Thank you so much.",40,10
J20100204-1-S1,O,Outbound Job,DTP,Sea,Singapore,Switzerland,,40,10
J20100205-1-A1,O,Outbound Job,O,Air,Singapore,China,,40,10
J20100206-1-A1,O,Outbound Job,O,Air,Singapore,Taiwan,,40,10
J20100208-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,"Great Service, patient and helpful.",40,10
J20100209-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,,40,10
J20100210-1-A1,O,Outbound Job,O,Air,Singapore,"Korea, Republic of",,40,10
J20100212-1-A1,O,Outbound Job,O,Air,Singapore,India,,40,10
J20100213-1-A1,O,Outbound Job,O,Air,Singapore,India,,40,10
J20100215-1-R1,O,Outbound Job,DTP,Road,Singapore,Malaysia,"Sabil is great in attending to all our queries and needs.  As always, Asian Tigers delivers on its services.",40,10
J20100216-1-S1,O,Outbound Job,DTP,Sea,Singapore,Switzerland,,40,10
J20100220-1-S1,O,Outbound Job,DTD,Sea,Singapore,Indonesia,You are super cool guys!  Will recommend you to all my friends.,40,10
J20100222-1-S1,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,,40,10
J20100256-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20100272-1-S1,O,Outbound Job,DTD,Sea,Singapore,Thailand,Paperwork is way too much!  Otherwise excellent service.,40,10
